,symbol,profile
description,VLO,"Valero Energy Corp is a petroleum refining and marketing company. The company produces conventional gasolines, distillates, jet fuel, asphalt, petrochemicals, lubricants, and other refined products as well as a slate of premium products."
exchange,VLO,New York Stock Exchange
industry,VLO,Oil & Gas - Refining & Marketing
sector,VLO,Energy
website,VLO,http://www.valero.com
ceo,VAR,
companyName,VAR,Varian Medical Systems Inc.
description,VAR,"Varian Medical Systems Inc is engaged in the healthcare sector. It manufactures medical devices for conditions with radiotherapy, radiosurgery, proton therapy and brachytherapy."
exchange,VAR,New York Stock Exchange
industry,VAR,Medical Devices
sector,VAR,Healthcare
website,VAR,http://www.varian.com
ceo,VTR,Debra A. Cafaro
companyName,VTR,Ventas Inc.
description,VTR,"Ventas Inc is a real estate investment trust. It holds a diversified portfolio of seniors housing communities, skilled nursing facilities, medical office buildings, life science buildings, and hospitals."
exchange,VTR,New York Stock Exchange
industry,VTR,REITs
sector,VTR,Real Estate
website,VTR,http://www.ventasreit.com
ceo,VRSN,D. James Bidzos
companyName,VRSN,VeriSign Inc.
description,VRSN,VeriSign Inc is a part of the internet content industry. It provides domain name registry and internet security for websites and enterprises around the world.
exchange,VRSN,Nasdaq Global Select
industry,VRSN,Online Media
sector,VRSN,Technology
website,VRSN,https://www.Verisign.com
ceo,VRSK,Scott G. Stephenson
companyName,VRSK,Verisk Analytics Inc.
description,VRSK,"Verisk Analytics Inc is a data analytics provider serving customers in insurance, natural resources and financial services."
exchange,VRSK,Nasdaq Global Select
industry,VRSK,Business Services
sector,VRSK,Industrials
website,VRSK,http://www.verisk.com
ceo,VZ,Lowell C. McAdam
companyName,VZ,Verizon Communications Inc.
description,VZ,"Verizon Communications Inc is a provider of communications, information and entertainment products and services to consumers, businesses and governmental agencies. It offers voice, data and video services and solutions to wireless and wireline networks."
exchange,VZ,New York Stock Exchange
industry,VZ,Communication Services
sector,VZ,Communication Services
website,VZ,http://www.verizon.com
ceo,VRTX,Jeffrey M Leiden
companyName,VRTX,Vertex Pharmaceuticals Incorporated
description,VRTX,"Vertex Pharmaceuticals Inc is engaged in the business of discovering, developing, manufacturing and commercializing small molecule drugs for patients with serious diseases in specialty markets. Its products include SYMDEKO, ORKAMBI, and KALYDECO."
exchange,VRTX,Nasdaq Global Select
industry,VRTX,Biotechnology
sector,VRTX,Healthcare
website,VRTX,http://www.vrtx.com
ceo,VIAB,
companyName,VIAB,Viacom Inc.
description,VIAB,"Viacom Inc is a global media company. It creates compelling television programs, motion pictures, short-form content, applications and games. Its brands include MTV, VH1, CMT, Logo, BET, Nickelodeon, Comedy central, TV Land, SPIKE, Tr3s, and VIVA."
exchange,VIAB,Nasdaq Global Select
industry,VIAB,Entertainment
sector,VIAB,Consumer Cyclical
website,VIAB,http://www.viacom.com
ceo,V,Alfred F. Kelly
companyName,V,Visa Inc.
description,V,"Visa Inc is a payments technology company working to enable consumers, businesses, banks and governments to use fast, secure and reliable digital currency. The Company operates processing networks - VisaNet."
exchange,V,New York Stock Exchange
industry,V,Credit Services
sector,V,Financial Services
website,V,http://www.corporate.visa.com
ceo,VNO,Steven Roth
companyName,VNO,Vornado Realty Trust
description,VNO,"Vornado Realty Trust is a fully?integrated real estate investment trust. The company owns and has an ownership interest in Class A office and retail properties in New York and Washington, DC. The company receives revenue in the form of rent."
exchange,VNO,New York Stock Exchange
industry,VNO,REITs
sector,VNO,Real Estate
website,VNO,http://www.vno.com
ceo,VMC,J. Hill
companyName,VMC,Vulcan Materials Company (Holding Company)
description,VMC,"Vulcan Materials Co is a producer of construction aggregates including crushed stone, sand and gravel; and asphalt mix and ready-mixed concrete in the United States. These materials are used to build the roads, tunnels, bridges, railroads and airports."
exchange,VMC,New York Stock Exchange
industry,VMC,Building Materials
sector,VMC,Basic Materials
website,VMC,http://www.vulcanmaterials.com
ceo,WAB,Raymond T. Betler
companyName,WAB,Westinghouse Air Brake Technologies Corporation
description,WAB,"Westinghouse Air Brake Technologies Corp is a provider of value-added, technology-based products and services for the rail industry. It provides its products and services through two main business segments, the Freight and Transit."
exchange,WAB,New York Stock Exchange
industry,WAB,Transportation & Logistics
sector,WAB,Industrials
website,WAB,http://www.wabtec.com
ceo,WMT,C. Douglas McMillon
companyName,WMT,Walmart Inc.
description,WMT,"Wal-Mart Stores Inc operates retail stores in various formats under various banners. Its operations comprise of three reportable business segments, Walmart U.S., Walmart International and Sam's Club in three categories retail, wholesale and others."
exchange,WMT,New York Stock Exchange
industry,WMT,Retail - Defensive
sector,WMT,Consumer Defensive
website,WMT,http://www.walmart.com
ceo,WBA,Stefano Pessina
companyName,WBA,Walgreens Boots Alliance Inc.
description,WBA,"Walgreens Boots Alliance Inc is a pharmacy led health and wellbeing company. It operates retail pharmacy store chain in the United States. The firm sells and markets its products under brands such as Walgreens, Duane Reade, Boots and Alliance Healthcare."
exchange,WBA,Nasdaq Global Select
industry,WBA,Drug Manufacturers
sector,WBA,Healthcare
website,WBA,http://www.walgreens.com
ceo,DIS,Robert A. Iger
companyName,DIS,The Walt Disney Company
description,DIS,"Walt Disney Co together with its subsidiaries is a diversified worldwide entertainment company with operations in four business segments: Media Networks, Parks and Resorts, Studio Entertainment, and Consumer Products & Interactive Media."
exchange,DIS,New York Stock Exchange
industry,DIS,Entertainment
sector,DIS,Consumer Cyclical
website,DIS,http://www.disney.com
ceo,WM,James C. Fish
companyName,WM,Waste Management Inc.
description,WM,"Waste Management Inc acts as a provider of waste management environmental services. The services provided by the company include collection, landfill, transfer, recycling and resource recovery and other services."
exchange,WM,New York Stock Exchange
industry,WM,Waste Management
sector,WM,Industrials
website,WM,http://www.wm.com
ceo,WAT,Christopher J. O'Connell
companyName,WAT,Waters Corporation
description,WAT,"Waters Corp is an analytical instrument manufacturer. It designs, manufactures, sells and services liquid chromatography, ultra performance liquid chromatography & mass spectrometry instrument systems & support products."
exchange,WAT,New York Stock Exchange
industry,WAT,Computer Hardware
sector,WAT,Technology
website,WAT,http://www.waters.com
ceo,WEC,Gale E. Klappa / Allen L. Leverett
companyName,WEC,WEC Energy Group Inc.
description,WEC,"WEC Energy Group Inc operates electric and gas utility businesses in various states across the US. The firm is primarily engaged in the generation of electricity, gas distribution, and electric transmission."
exchange,WEC,New York Stock Exchange
industry,WEC,Utilities - Regulated
sector,WEC,Utilities
website,WEC,http://www.wecenergygroup.com
ceo,WCG,Kenneth Burdick
companyName,WCG,Wellcare Health Plans Inc.
description,WCG,"WellCare Health Plans Inc operates in the healthcare industry. Its key business includes provision of health care plans and prescription drug plans to families, children and individuals."
exchange,WCG,New York Stock Exchange
industry,WCG,Health Care Plans
sector,WCG,Healthcare
website,WCG,http://www.wellcare.com
ceo,WFC,Timothy Sloan
companyName,WFC,Wells Fargo & Company
description,WFC,Wells Fargo & Co operates as one of the largest banks in the United States. Its business operations are split into three segments: Community banking; Wholesale banking; and Wealth and Investment Management.
exchange,WFC,New York Stock Exchange
industry,WFC,Banks
sector,WFC,Financial Services
website,WFC,http://www.wellsfargo.com
ceo,WELL,Thomas J. Derosa
companyName,WELL,Welltower Inc.
description,WELL,"Welltower Inc is engaged in the transformation of healthcare infrastructure. It invests in seniors housing operators, post-acute providers and health systems to improve people's wellness and overall health care experience."
exchange,WELL,New York Stock Exchange
industry,WELL,REITs
sector,WELL,Real Estate
website,WELL,http://www.welltower.com
ceo,WDC,Stephen D. Milligan
companyName,WDC,Western Digital Corporation
description,WDC,"Western Digital Corp is the global leader in the hard disk drive market. It develops, manufactures, and provides data storage solutions that enable consumers to create, manage, experience and preserve digital content. Its products include HDDs and SSDs."
exchange,WDC,Nasdaq Global Select
industry,WDC,Computer Hardware
sector,WDC,Technology
website,WDC,https://www.wdc.com
ceo,WU,Hikmet Ersek
companyName,WU,Western Union Company (The)
description,WU,"The Western Union Co is a provider of money movement and payment services. The company provides flexible and convenient options for making one-time or recurring payments. Its segments are Consumer-to-Consumer, Consumer-to-Business and Business Solutions."
exchange,WU,New York Stock Exchange
industry,WU,Banks
sector,WU,Financial Services
website,WU,http://www.westernunion.com
ceo,WRK,Steven C. Voorhees
companyName,WRK,Westrock Company
description,WRK,"WestRock Co provides paper and packaging solutions in consumer and corrugated markets. The Company offers corrugated container, paperboard, partitions and protective packaging, containerboard and beverage multipacks."
exchange,WRK,New York Stock Exchange
industry,WRK,Packaging & Containers
sector,WRK,Consumer Cyclical
website,WRK,http://www.westrock.com
ceo,WY,Doyle R. Simons
companyName,WY,Weyerhaeuser Company
description,WY,"Weyerhaeuser Co is a real estate investment trust and is engaged in selling timber. Its objective is to maximize the long-term value of timberlands that it owns. It derives its revenue from investments in timberland, including the sale of standing timber."
